PARTNUM,partgroup,partweight,part ft3,CANADA,CHINA,GERMANY,MEXICO,SOUTH KOREA,SPAIN,UNITED STATES
123,15,2.0696,4553.187656,,,2.811920533,,3.1862796,,
124,15,2.788,6903.975,,15.48112782,,14.915,,,
125,15,1.3692,1979.458689,,1.03731784,,,,,1.89
126,20,4.5249,369.7233121,,10.723689,,8.775365,,,
127,80,0.041,230.88,,5.177562161,,5.270098,,,
128,20,12.6079,4315.646671,,18.24726929,,19.329611,,,
129,20,15.6861,2361.364834,,20.15553321,,20.725512,,,
130,20,0.401,21078.95833,,,1.721595,,1.919854,,
131,40,0.604,1449,,,,1.098397,1.11434,,
132,20,36.2451,23217.35385,,172.560171,48.65175825,,,145.9552748,
133,80,11.9545,12567.87943,10.406446,,,,8.641554368,,
134,20,0.2584,1334.205409,,3.4922706,2.492136699,,,,
135,40,0.4228,9900,,,1.408567,,,1.356366,
136,40,0.4391,10800,,,1.388135,,,1.432935,
137,40,0.4228,10800,,,1.571794,,,1.356366,
138,40,0.4393,9900,,,1.604084,,,1.432935,
139,40,0.4924,4484.210526,,,1.023098,,,1.104782,
140,40,0.4924,4207.407407,,,1.036843,,,1.104782,
141,20,24.9767,15970.45329,,,26.89102233,30.783474,,,
142,20,2.8421,1113.702353,,6.864425,,8.450021,,,
143,20,2.8421,1113.702353,,6.864425,,8.450021,,,
144,20,0.9357,1654.447159,,,,,3.249413,,2.05184
145,30,4.7497,7722.12,,,13.529651,,,,15.93
146,80,2.718,6179.203125,,3.4261,,3.8146,,,
147,20,17.5,48694.8,,,157.01204,,,161.133093,
148,20,17.8,64926.4,,,176.169398,,,170.931897,
149,20,18.2,64926.4,,,191.170678,,,183.209731,
150,20,9.7301,1037.528136,,,49.256435,49.256435,,,
151,80,20,30692.95238,,,43.36632998,,,43.37129054,
152,80,33,19341.74118,,,34.03737439,,,34.043011,
153,80,43.02,17977.58333,,,31.056302,,,31.05001418,
154,20,8.3804,1801.58811,,14.32757982,11.663942,,,,
155,30,4.8766,10473.66498,,,23.96218104,,,,27.798066
156,20,18.55,64926.4,,,182.399171,,,178.819812,
157,20,18.26,53372.60976,,,200.004118,,,192.015936,
158,20,0.1972,122.2573897,,,1.645229688,,,,2.1
