PARTNUM,partgroup,partweight,part ft3,CANADA,CHINA,GERMANY,MEXICO,SOUTH KOREA,SPAIN,UNITED STATES
379.0,20.0,0.49,5025.0,3.48591,2.01013,1.39521,2.14566,2.19752,1.28749,4.01983
380.0,60.0,3.0412,2700.0,5.56995,7.02236,5.71767,6.12244,5.7302,3.94937,5.88674
381.0,55.0,0.7531,160.173,5.55852,5.469,5.68457,5.469,5.69476,5.06808,5.469
382.0,40.0,0.3269,627.09,5.08496,3.48893,4.08291,3.71458,5.02828,4.17655,3.71458
383.0,40.0,0.2735,1274.13,5.04464,4.07577,4.89988,3.15575,4.98795,6.15576,3.02095
384.0,55.0,0.3044,266.569,1.88851,1.91819,1.63966,1.9735,1.70542,1.61361,2.01453
385.0,55.0,0.3044,266.569,1.88851,1.91819,1.63966,1.9735,1.70542,1.61361,2.01453
386.0,20.0,2.0523,29387.0,1.29602,1.98259,1.04179,-1.03213,1.14092,2.30872,3.94593
387.0,20.0,2.0618,29387.0,1.29602,1.8674,1.04179,-1.03213,1.14092,2.30872,3.94593
388.0,50.0,12.0076,49503.4,11.7305,15.4697,11.5694,12.5805,11.6685,12.8363,17.2739
389.0,50.0,5.6438,1555.2,9.64037,11.2706,9.49561,10.1749,9.58369,10.7515,10.7027
390.0,50.0,5.6438,1555.2,9.64037,11.2706,9.49561,10.1749,9.58369,10.7515,10.7027
391.0,40.0,0.1764,150.0,4.36861,4.72121,4.82899,4.39264,4.86115,4.32028,4.72121
392.0,40.0,0.1764,150.0,4.36859,4.72118,4.82897,4.39262,4.86112,4.32026,4.72118
393.0,80.0,0.5266,138.824,12.6095,12.5143,10.6036,12.3481,13.0147,12.1191,12.52
394.0,60.0,4.3778,43377.6,15.353,13.9293,13.9744,14.9078,13.9958,15.1636,14.0159
395.0,80.0,95.824,1319.72,38.8921,37.7969,39.0827,38.8921,37.8745,38.274,38.8924
396.0,20.0,24.2506,3088.8,54.6375,53.7746,31.0113,54.8591,57.5243,54.241,54.8591
397.0,20.0,25.0332,3088.8,53.1132,52.2503,29.487,53.3348,56.0,52.7167,53.3348
398.0,20.0,25.0443,3088.8,53.0023,52.1394,29.3761,53.2239,55.889,52.6057,53.2239
399.0,80.0,88.691,1460.0,45.1914,43.2338,44.5196,45.1914,43.3114,44.5733,44.3293
400.0,40.0,2.6618,2250.0,11.692,12.2483,12.1991,13.0411,11.7005,12.4229,12.0088
401.0,40.0,2.6618,2250.0,11.692,12.2483,12.1991,13.0411,11.7005,12.4229,12.0088
402.0,40.0,2.8239,2250.0,21.5773,18.8028,22.0844,19.8738,22.1133,19.2557,21.8941
403.0,40.0,2.8239,2250.0,21.5773,18.8028,22.0844,19.8738,22.1133,19.2557,21.8941
404.0,50.0,18.6416,14854.8,11.4006,10.4685,8.865,12.7416,9.05218,10.22,13.754
405.0,50.0,16.314,9264.0,24.1425,32.4061,30.9105,24.1425,32.0352,31.9736,32.1107
406.0,50.0,16.391,9264.0,29.5432,36.2107,34.7152,29.5432,35.8398,35.7782,35.9153
407.0,20.0,0.1852,180.0,6.71388,7.90393,4.67064,7.788,7.74138,4.83094,7.42458
408.0,20.0,0.8248,1610.47,2.15694,3.29388,2.88406,2.15695,2.69298,2.91803,2.47374
409.0,50.0,22.6245,26052.2,18.7425,7.67278,6.84717,7.85834,6.9463,8.1141,9.247
410.0,50.0,2.425,328.021,1.70181,1.83944,1.7476,1.70933,1.48535,1.47752,1.61462
411.0,50.0,2.425,328.021,1.70181,1.83944,1.7476,1.70933,1.48535,1.47752,1.61462
412.0,15.0,25.6615,10426.1,226.743,233.867,228.731,225.583,228.72,224.737,228.731
413.0,15.0,5.732,2084.4,25.7905,24.3086,23.1442,25.9013,22.3929,25.2832,29.0999
414.0,80.0,1.4581,3463.8,2.48374,3.38151,2.64463,2.47079,1.70083,2.86864,2.8137
415.0,50.0,11.1456,27491.1,15.3293,12.7304,9.40981,10.3432,9.43119,10.599,14.0326
416.0,80.0,1.2456,270.0,24.945,19.7446,19.7733,24.9525,19.8391,19.6839,25.1168
417.0,50.0,13.0623,6158.45,20.511,19.3142,18.2997,20.511,19.0512,19.8929,19.7405
418.0,50.0,10.582,1188.0,9.27546,9.6195,9.52467,8.97939,9.53978,8.36126,9.59226
419.0,50.0,10.2096,1188.0,9.27546,9.6195,9.52467,8.97939,9.53978,8.36126,9.59226
420.0,40.0,3.2628,4500.0,23.1617,23.7186,24.1198,23.1617,16.4867,22.5435,25.5607
421.0,40.0,3.2628,4500.0,23.1617,23.7186,24.1198,23.1617,16.4867,22.5435,25.5607
422.0,40.0,3.2628,4500.0,23.1617,23.7186,24.1198,23.1617,16.4867,22.5435,25.5607
423.0,55.0,0.7606,3876.0,2.6741,2.83584,3.18118,3.34388,1.82891,2.72574,2.9909
424.0,55.0,0.7385,3876.0,2.6741,2.83584,3.18118,3.34388,1.82891,2.72574,2.9909
425.0,55.0,3.9991,3083.59,28.7286,26.5865,26.0865,28.7286,26.4947,28.1104,29.7387
426.0,55.0,3.9991,3083.59,28.7286,26.8972,26.3971,28.7286,26.8053,28.1104,29.7387
427.0,80.0,98.9342,1270.59,49.6909,42.0214,43.3072,43.7779,42.099,43.1598,43.1169
428.0,80.0,78.2854,1800.0,40.865,40.6708,39.7682,40.865,38.416,40.2469,39.578
429.0,60.0,1.5278,918.0,7.97242,8.06357,8.08073,8.28921,8.94606,8.15211,8.28921
430.0,70.0,0.011,24.18,3.07832,2.724,1.70112,2.89371,2.79817,3.00722,2.91508
431.0,70.0,0.011,24.18,3.07832,2.586,1.70112,2.89371,2.79817,3.00722,2.91508
432.0,20.0,24.2506,3088.8,54.6375,53.7746,31.0113,54.8591,57.5243,54.241,54.8591
433.0,20.0,24.9781,3088.8,53.0023,52.1394,29.3761,53.2239,55.889,52.6057,53.2239
434.0,15.0,33.8847,19975.5,469.354,480.896,475.76,469.464,472.598,468.846,475.76
435.0,40.0,2.6455,2250.0,21.2146,18.1896,21.7216,19.2606,21.7506,18.6425,21.5313
436.0,40.0,2.6455,2250.0,21.2146,18.1896,21.7216,19.2606,21.7506,18.6425,21.5313
437.0,40.0,5.2535,2250.0,21.2146,18.4678,21.7216,19.2606,21.7506,18.6425,21.5313
438.0,40.0,2.6235,2250.0,11.9022,11.635,12.4093,12.4278,11.9107,11.8097,12.219
439.0,30.0,1.2346,796.875,2.377,2.72104,2.62621,2.27698,2.64132,2.55669,2.6938
440.0,30.0,0.6834,1147.5,2.377,3.02748,2.52472,2.25252,1.6613,1.63438,2.6938
441.0,30.0,0.69,1147.5,2.26221,2.91363,2.40993,2.13867,1.54745,1.52053,2.57901
442.0,80.0,1.975,13511.0,9.60197,9.04976,7.16925,8.66767,8.71953,7.14315,9.40882
443.0,80.0,3.493,3507.69,9.50243,9.60041,8.86353,9.2683,8.71953,9.88733,9.0326
444.0,20.0,24.2506,3088.8,56.6144,55.2433,32.9882,56.836,59.5012,56.2179,56.836
445.0,20.0,3.5274,2033.56,8.86944,9.4264,7.51883,8.86945,8.27041,8.25131,8.9597
446.0,15.0,12.9306,1748.57,199.267,206.39,201.254,201.254,200.996,201.233,201.254
447.0,50.0,5.0437,212.143,6.71499,6.95282,6.85116,6.73003,7.19853,6.11189,6.77106
448.0,50.0,5.0437,212.143,6.64597,6.91683,6.78213,6.69404,7.16254,6.0759,6.73507
449.0,40.0,0.3858,282.857,6.09901,6.48371,6.22873,6.10653,5.94005,6.31901,6.45611
450.0,40.0,0.3858,282.857,6.19301,6.48371,6.22873,6.20053,5.94005,6.31901,6.45611
451.0,40.0,0.3197,242.0,5.0068,5.3426,5.08761,5.01432,5.33154,5.17789,5.31499
452.0,40.0,0.3197,242.0,5.17616,5.45219,5.1972,5.18368,5.44113,5.28748,5.42459
453.0,40.0,0.5071,1320.0,10.53,14.1092,10.6777,10.218,4.4415,9.59984,10.8468
454.0,20.0,0.6698,2480.4,24.728,23.7787,17.3429,20.1,22.7651,10.4762,21.2995
455.0,50.0,15.6747,7490.81,22.2002,21.5834,20.1204,22.2002,19.739,21.5821,21.5613
456.0,50.0,15.6747,7490.81,22.2002,21.5834,20.1204,22.2002,19.739,21.5821,21.5613
457.0,40.0,3.2408,4863.94,20.0515,20.6085,17.923,20.0515,18.6746,19.4334,19.3639
458.0,60.0,39.1647,27097.2,126.247,132.623,124.588,127.345,130.01,126.727,128.235
459.0,60.0,39.1647,27097.2,133.369,135.143,127.108,129.865,132.53,129.247,135.357
460.0,20.0,0.2674,238.022,1.10447,4.61009,1.37679,1.10447,1.74389,1.41076,1.58527
461.0,20.0,24.2506,3088.8,54.6375,53.7746,31.0113,54.8591,57.5243,54.241,54.8591
462.0,30.0,3.5494,12072.2,11.0227,9.57061,8.43042,9.36384,11.246,8.7457,11.3887
463.0,40.0,0.937,519.231,1.89863,1.98978,2.00694,2.7448,0.872887,2.07832,2.21542
464.0,40.0,0.937,519.231,1.89863,1.98978,2.00694,2.7448,0.872887,2.07832,2.21542
465.0,50.0,8.9728,1262.79,4.60675,4.95079,4.85596,4.92354,4.87106,4.3054,4.92354
466.0,50.0,8.9728,1262.79,4.60675,4.95079,4.85596,4.92354,4.87106,4.3054,4.92354
467.0,40.0,1.6645,1928.57,9.14035,9.86285,9.28807,9.48854,9.14885,8.8704,9.45715
